사업장명,업태구분명,도로명주소,좌표정보(X),좌표정보(Y)
CU갈현선정점,편의점,서울특별시 은평구 갈현로23길 25 1층 (갈현동),192134.1586,457249.5794
CU강남논현타운점,편의점,서울특별시 강남구 강남대로114길 25 지상1층 (논현동),202257.563,444897.7067
cu강남삼성점,편의점,서울특별시 강남구 선릉로126길 14 지하1층 (삼성동),203753.6133,445895.3694
CU강남신동아점,편의점,서울특별시 강남구 광평로47길 17 상가동 지상1층 104호105호 (수서동 신동아아파트),208636.6798,442768.4857
CU강동그라시움점,편의점,서울특별시 강동구 고덕로83길 42 1층 (고덕동),214840.5307,450756.2101
CU강동드림점,편의점,서울특별시 강동구 성내로15길 10 101호 (성내동),211297.0706,447290.6007
CU강동어울림점,편의점,서울특별시 강동구 암사길 40 1층 (암사동),211750.5344,449945.6291
CU강서붐호텔점,편의점,서울특별시 강서구 남부순환로 188 1층 (외발산동),183993.3931,449605.8657
CU강풀만화거리,편의점,서울특별시 강동구 천호대로168가길 57 1층 (성내동),211342.5607,448159.7304
CU개봉영웅점,편의점,서울특별시 구로구 경서로1나길 1 1층 (개봉동),187215.3217,444064.9314
CU고덕래미안점,편의점,서울특별시 강동구 아리수로50길 50 1층 (고덕동 래미안힐스테이트고덕),212926.0899,450751.5243
CU고덕에이스점,편의점,서울특별시 강동구 상일로25길 7 (고덕동),214952.0033,451031.6607
CU공릉그랜드점,편의점,서울특별시 노원구 공릉로42길 25 1층 (공릉동),207091.3488,458003.8066
CU공릉점(편의점),편의점,서울특별시 노원구 공릉로34길 34 (공릉동),207083.1092,457849.8609
CU공릉플러스,편의점,서울특별시 노원구 동일로192길 66 (공릉동),206682.5058,458280.4045
CU공릉화랑점,편의점,서울특별시 노원구 공릉로20길 12 1층 (공릉동),206908.27,457449.245
CU관악봉천점,편의점,서울특별시 관악구 봉천로29길 9 1층 23호 (봉천동),194620.7978,442506.9918
CU관악선경점,편의점,서울특별시 관악구 신림로3가길 41 1층 (신림동),194815.8586,440737.7428
CU관악센트럴점,편의점,서울특별시 관악구 서원길 7 지하1층 (신림동),194000.1185,441691.7056
CU관악스위트,편의점,서울특별시 관악구 봉천로14길 17 1층 (신림동),193775.5304,442812.0591
cu관악파인빌점,편의점,서울특별시 관악구 중앙길 133 1층 107호 (봉천동),195322.3283,442680.7555
CU교대역점,편의점,서울특별시 서초구 서초대로 332 신승빌딩 1층 (서초동),201513.2196,443609.1055
CU구로궁동점,편의점,서울특별시 구로구 부일로17길 138 1층 (궁동),184928.7892,443968.173
CU구로디지털점,편의점,서울특별시 구로구 디지털로32다길 46 1층 (구로동),190987.4896,442121.8297
CU구로와이즈점,편의점,서울특별시 구로구 가마산로 268 대림역와이즈플레이스 101호 (구로동),190233.2222,443714.4269
CU구산타온점,편의점,서울특별시 은평구 연서로9길 6 101호 (구산동 뉴아름빌),192384.5965,456149.2172
CU금천도당점,편의점,서울특별시 금천구 범안로16길 33 2층 (일부)호 (독산동),190690.0352,440333.2366
CU금천독산로점,편의점,서울특별시 금천구 독산로 111 지상1층 (시흥동),191546.3237,439463.2849
CU금천석수,편의점,서울특별시 금천구 시흥대로2길 8 1층 (시흥동),191415.3025,436946.3587
CU금천여름점,편의점,서울특별시 금천구 시흥대로47길 18 지상1층 (시흥동),191190.3929,438665.0325
CU금천코스모점,편의점,서울특별시 금천구 시흥대로123길 14 1층 (독산동),190844.9449,440930.4624
CU금천프라임점,편의점,서울특별시 금천구 시흥대로 473 NBN빌딩 1층 (독산동),190901.4814,441536.3915
CU길동SK점,편의점,서울특별시 강동구 진황도로 85 1층 108109호 (길동 강동큐브2차),211963.9422,448273.2051
CU길동마루점,편의점,서울특별시 강동구 양재대로 1465 마루홈타운 1층 108호 (길동),212241.5992,448298.4594
CU낙성현대점,편의점,서울특별시 관악구 낙성대로 37 지하1층 (봉천동 낙성대현대아파트),196344.6864,441425.6135
CU남가좌 명지점,편의점,서울특별시 서대문구 증가로10길 17 1층 (남가좌동),193153.0866,452895.1049
CU남가좌현대점,편의점,서울특별시 서대문구 가재울로 46 1층 (남가좌동),193025.4233,452549.3099
CU남부순환로점,편의점,서울특별시 관악구 남부순환로 1680 관동캐슬오피스텔 제지1층 101호 (신림동),194366.4825,442434.8585
CU노량진장미점,편의점,서울특별시 동작구 만양로 105 1층 (노량진동),194977.4059,445632.1261
CU노원나래점,편의점,서울특별시 노원구 상계로7길 40 지층 (상계동),205618.9292,461795.2688
CU노원벽산점,편의점,서울특별시 노원구 한글비석로24길 27 (상계동),206290.3108,462189.5112
CU노원상계중앙점,편의점,서울특별시 노원구 동일로238길 26 1층 (상계동),204951.2076,463524.2858
CU논현SK,편의점,서울특별시 강남구 학동로 342 에스케이 허브블루 지상1층 108호 (논현동),203518.7633,446051.5798
CU논현골드점,편의점,서울특별시 강남구 선릉로131길 9 하나빌딩 지상1층 (논현동),203472.5323,446140.4827
CU논현두산위브점,편의점,서울특별시 강남구 언주로122길 28 지상1층 (논현동),203291.5239,445524.1526
CU논현평화점,편의점,서울특별시 강남구 강남대로122길 56 1층 (논현동),202347.0363,445213.3512
CU논현혜성점,편의점,서울특별시 강남구 강남대로118길 8 지상1층 (논현동),202093.3641,444883.1877
CU뉴강동블루점,편의점,서울특별시 강동구 진황도로 17-1 1층 (천호동),211382.1498,448597.5085
CU당고개본점,편의점,서울특별시 노원구 덕릉로126길 30 (상계동),207262.3348,463188.1307
CU당산강변점,편의점,서울특별시 영등포구 버드나루로20길 6 (당산동 1층),191843.4962,447390.0537
CU당산역V타워점,편의점,서울특별시 영등포구 당산로 246 뷰티플타워 1층 (당산동6가),191396.6438,448117.2882
CU당산행운점,편의점,서울특별시 영등포구 버드나루로 95 1층 101호 (당산동 미진리버빌),191835.4059,447161.7173
CU대치미니점,편의점,서울특별시 강남구 역삼로73길 13 지상1층 (대치동),204799.9498,444515.3999
CU덕의초교점,편의점,서울특별시 구로구 고척로 212 오토젠빌딩 1층 (고척동),187287.7721,444799.3003
CU도곡대원점,편의점,서울특별시 강남구 논현로28길 30 지상1층 (도곡동),203888.9112,442375.6286
CU도림소나무점,편의점,서울특별시 영등포구 도영로 80 대우미래사랑 101동 1층 102 103호 (도림동),191136.0336,445478.6055
CU도봉한아름점,편의점,서울특별시 도봉구 시루봉로 304 도림빌딩 1층 (도봉동),203712.556,463194.2461
CU독산AK점,편의점,서울특별시 금천구 독산로72길 50 지상1층 (독산동),191486.7116,440689.0885
CU독산공단점,편의점,서울특별시 금천구 벚꽃로20길 15 1층 (독산동),190124.3017,440857.9506
CU둔촌점,편의점,서울특별시 강동구 천호대로188길 13 1층 (둔촌동),212603.1056,447931.568
CU등촌두산점,편의점,서울특별시 강서구 양천로 564 등촌동두산위브센티움 1층 103호 (등촌동),187682.6904,450578.8928
CU마곡엠팰리체,편의점,서울특별시 강서구 마곡동로4길 15 엠팰리체 1층 110호 (마곡동),185377,450842
CU마장현대점,편의점,서울특별시 성동구 마장로39길 36 1층 109호 (마장동),203790.5224,451759.3824
CU마포합정점,편의점,서울특별시 마포구 희우정로 51 (합정동 1층일부),191612.7276,449882.8708
CU망우제일점,편의점,서울특별시 중랑구 용마산로116길 50 (망우동 MAI BAUM),209046.875,455246.9033
CU망우행복점,편의점,서울특별시 중랑구 용마산로118길 130 1층 (망우동 대원빌라),209439.9808,455404.2223
CU매봉초교점,편의점,서울특별시 구로구 고척로21다길 17 1층 (개봉동),186172.9974,444585.6658
cu면목행복점,편의점,서울특별시 중랑구 겸재로50길 9 1층 (면목동),207969.1828,454048.8609
CU명일엘지점,편의점,서울특별시 강동구 양재대로138길 47 조은빌딩 1층 (명일동),212881.9933,449709.9998
CU명일우량점,편의점,서울특별시 강동구 동남로71길 38 103104호 (명일동),213545.0112,449988.4581
CU명일점,편의점,서울특별시 강동구 고덕로38길 47 (명일동),212546.7384,450032.6787
CU명지대정문길점,편의점,서울특별시 서대문구 거북골로 21 1층 (남가좌동),193303.8022,453090.9395
CU목동센트럴푸르지오점,편의점,서울특별시 양천구 오목로 354 101동 110호 (목동 목동센트럴푸르지오),189031.8299,446838.0867
CU목동오거리점,편의점,서울특별시 양천구 신정중앙로23길 3 청곡빌딩 지상1층 (신정동),187853.6589,447167.8738
CU문래라이프점,편의점,서울특별시 영등포구 경인로77길 19 남성맨션아파트 1층 1호 (문래동2가),190346.5523,445601.6633
cu문래벤처점,편의점,서울특별시 영등포구 선유로 70 1층 (문래동3가 105호 일부),190217.7051,446449.9176
CU문래벽산점,편의점,서울특별시 영등포구 경인로71길 70 (문래동5가 벽산디지털밸리 A-101-2호),189859.0718,445875.8967
CU문래한신점,편의점,서울특별시 영등포구 문래로20길 14 (문래동3가 문래공원한신아파트 상가 1층 104호),190470.7195,446156.002
CU방배효점,편의점,서울특별시 서초구 서초대로23길 106 101호103호 (방배동 The h herren),199070.7829,443299.6345
